Farm,Type,Round,Date,Species,Number,Caste,Visiting,Status,Purpose,Family
Farm1,ELS,Four,11/8/2013,Andrena minutula,1,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm1,ELS,Four,11/8/2013,Andrena minutula,3,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm1,ELS,Four,5/8/2014,Andrena minutula,1,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm1,ELS,Four,5/8/2014,Halictus tumulorum,1,Male,Helminthotheca echioides,Wild,Nectar,Asteraceae
Farm1,ELS,Four,5/8/2014,Halictus tumulorum,3,Male,Pulicaria dysenterica,Wild,Nectar,Asteraceae
Farm1,ELS,Four,5/8/2014,Lasioglossum leucozonium,1,Male,Pulicaria dysenterica,Wild,Nectar,Asteraceae
Farm1,ELS,Four,5/8/2014,Lasioglossum malachurum,2,Male,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm1,ELS,Four,5/8/2014,Lasioglossum morio,1,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm1,ELS,Four,5/8/2014,Lasioglossum pauxillum,1,Male,Tripleurospermum inodorum,Wild,Nectar,Asteraceae
Farm1,ELS,Four,5/8/2014,Lasioglossum villosulum,1,Male,Pulicaria dysenterica,Wild,Nectar,Asteraceae
Farm1,ELS,Three,26/06/2014,Andrena dorsata,1,Female,Rubus fruticosus agg.,Wild,Pollen,Rosaceae
Farm1,ELS,Three,26/06/2014,Andrena florea,2,Female,Bryonia dioica,Wild,Pollen,Cucurbitaceae
Farm1,ELS,Three,26/06/2014,Andrena florea,1,Female,Bryonia dioica,Wild,Pollen,Cucurbitaceae
Farm1,ELS,Three,26/06/2014,Andrena minutula,1,Male,Tripleurospermum inodorum,Wild,Pollen,Asteraceae
Farm1,ELS,Three,26/06/2014,Colletes daviesanus,1,Male,Tripleurospermum inodorum,Wild,Nectar,Asteraceae
