Farm,Type,Round,Date,Species,Load,Netted on,Plant pollen,Status,Proportion,Weight
Farm1,ELS,One,24/04/2015,Andrena bicolor,1,Sinapis arvensis,Sinapis arvensis,Wild,100,100
Farm1,ELS,One,24/04/2015,Andrena bicolor,0.25,Sinapis arvensis,Sinapis arvensis,Wild,100,25
Farm1,ELS,One,24/04/2015,Andrena bicolor,0.75,Sinapis arvensis,Sinapis arvensis,Wild,100,75
Farm1,ELS,One,24/04/2015,Andrena carantonica,1,vegetation,Acer campestre,Wild,100,100
Farm1,ELS,One,24/04/2015,Andrena carantonica,1,vegetation,Acer campestre,Wild,100,100
Farm1,ELS,One,24/04/2015,Andrena dorsata,0.5,Sinapis arvensis,Sinapis arvensis,Wild,100,50
Farm1,ELS,One,24/04/2015,Andrena flavipes,0.75,Sinapis arvensis,Sinapis arvensis,Wild,100,75
Farm1,ELS,One,24/04/2015,Andrena flavipes,0.75,Sinapis arvensis,Sinapis arvensis,Wild,100,75
Farm1,ELS,One,24/04/2015,Andrena flavipes,1,Sinapis arvensis,Sinapis arvensis,Wild,100,100
Farm1,ELS,One,24/04/2015,Andrena haemorrhoa,1,Sinapis arvensis,Sinapis arvensis,Wild,100,100
Farm1,ELS,One,24/04/2015,Andrena haemorrhoa,0.125,Taraxacum agg.,Taraxacum agg.,Wild,100,12.5
Farm1,ELS,One,24/04/2015,Andrena nitida,1,Lamium album,Acer campestre,Wild,50,50
Farm1,ELS,One,24/04/2015,Andrena nitida,0.5,Sinapis arvensis,Acer campestre,Wild,20,10
Farm1,ELS,One,24/04/2015,Andrena nitida,1,Sinapis arvensis,Acer campestre,Wild,10,10
Farm1,ELS,One,24/04/2015,Andrena nitida,1,Lamium album,Lamium album,Wild,50,50
Farm1,ELS,One,24/04/2015,Andrena nitida,1,Sinapis arvensis,Lamium album,Wild,20,20
Farm1,ELS,One,24/04/2015,Andrena nitida,0.75,Sinapis arvensis,Sinapis arvensis,Wild,100,75
Farm1,ELS,One,24/04/2015,Andrena nitida,0.75,Sinapis arvensis,Sinapis arvensis,Wild,100,75
Farm1,ELS,One,24/04/2015,Andrena nitida,0.5,Sinapis arvensis,Sinapis arvensis,Wild,80,40
Farm1,ELS,One,24/04/2015,Andrena nitida,1,Sinapis arvensis,Sinapis arvensis,Wild,70,70
Farm1,ELS,Two,16/06/2015,Halictus tumulorum,0.0625,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,6.25
Farm1,ELS,Two,16/06/2015,Halictus tumulorum,0.0625,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,6.25
Farm1,ELS,Two,16/06/2015,Lasioglossum malachurum,0.75,Tripleurospermum inodorum,Rubus fruticosus agg.,Wild,50,37.5
Farm1,ELS,Two,16/06/2015,Lasioglossum malachurum,1,Tripleurospermum inodorum,Rubus fruticosus agg.,Wild,10,10
Farm1,ELS,Two,16/06/2015,Lasioglossum malachurum,0.75,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,50,37.5
Farm1,ELS,Two,16/06/2015,Lasioglossum malachurum,0.125,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,12.5
Farm1,ELS,Two,16/06/2015,Lasioglossum malachurum,1,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,100
Farm1,ELS,Two,16/06/2015,Lasioglossum malachurum,0.75,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,75
Farm1,ELS,Two,16/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,50
