Farm,Type,Round,Date,Species,Number
Farm1,ELS,1,19/05/2014,Andrena carantonica,1
Farm1,ELS,1,19/05/2014,Andrena dorsata,1
Farm1,ELS,2,26/06/2014,Andrena dorsata,1
Farm1,ELS,1,19/05/2014,Andrena flavipes,2
Farm1,ELS,2,26/06/2014,Andrena florea,2
Farm1,ELS,2,26/06/2014,Andrena florea,1
Farm1,ELS,1,01/06/2013,Andrena haemorrhoa,1
Farm1,ELS,3,11/08/2013,Andrena minutula,1
Farm1,ELS,3,11/08/2013,Andrena minutula,3
Farm1,ELS,2,26/06/2014,Andrena minutula,1
Farm1,ELS,3,05/08/2014,Andrena minutula,1
Farm1,ELS,2,02/07/2013,Bombus hortorum,1
Farm1,ELS,2,02/07/2013,Bombus hortorum,1
Farm1,ELS,2,02/07/2013,Bombus hortorum,1
Farm1,ELS,3,11/08/2013,Bombus hortorum,2
Farm1,ELS,1,19/05/2014,Bombus hortorum,2
Farm1,ELS,2,26/06/2014,Bombus hortorum,1
Farm1,ELS,2,26/06/2014,Bombus hortorum,1
Farm1,ELS,2,26/06/2014,Bombus hortorum,1
Farm1,ELS,2,26/06/2014,Bombus hortorum,1
Farm1,ELS,2,02/07/2013,Bombus hypnorum,1
Farm1,ELS,3,11/08/2013,Bombus hypnorum,4
Farm1,ELS,3,11/08/2013,Bombus hypnorum,1
Farm1,ELS,2,02/07/2013,Bombus lapidarius,1
Farm1,ELS,2,02/07/2013,Bombus lapidarius,1
Farm1,ELS,2,02/07/2013,Bombus lapidarius,1
Farm1,ELS,3,11/08/2013,Bombus lapidarius,1
Farm1,ELS,3,11/08/2013,Bombus lapidarius,1
Farm1,ELS,3,11/08/2013,Bombus lapidarius,1
Farm1,ELS,3,11/08/2013,Bombus lapidarius,1
Farm1,ELS,3,11/08/2013,Bombus lapidarius,5
Farm1,ELS,3,11/08/2013,Bombus lapidarius,2
Farm1,ELS,3,11/08/2013,Bombus lapidarius,37
Farm1,ELS,3,11/08/2013,Bombus lapidarius,44
Farm1,ELS,3,11/08/2013,Bombus lapidarius,1
Farm1,ELS,3,11/08/2013,Bombus lapidarius,1
