Farm,Type,Round,Year,Species,Nature,Abundance
Farm1,ELS,1,2013,Anthriscus sylvestris,Wild,920
Farm1,ELS,1,2013,Anthriscus sylvestris,Wild,24
Farm1,ELS,1,2013,Anthriscus sylvestris,Wild,150
Farm1,ELS,1,2013,Anthriscus sylvestris,Wild,5
Farm1,ELS,1,2013,Anthriscus sylvestris,Wild,630
Farm1,ELS,1,2013,Anthriscus sylvestris,Wild,49
Farm1,ELS,1,2013,Anthriscus sylvestris,Wild,1050
Farm1,ELS,1,2013,Anthriscus sylvestris,Wild,12
Farm1,ELS,1,2013,Anthriscus sylvestris,Wild,300
Farm1,ELS,1,2013,Barbarea vulgaris,Wild,140
Farm1,ELS,1,2013,Barbarea vulgaris,Wild,50
Farm1,ELS,1,2013,Crataegus monogyna,Wild,500
Farm1,ELS,1,2013,Crataegus monogyna,Wild,600
Farm1,ELS,1,2013,Crataegus monogyna,Wild,2000
Farm1,ELS,1,2013,Crataegus monogyna,Wild,150
Farm1,ELS,1,2013,Crataegus monogyna,Wild,350
Farm1,ELS,1,2013,Geranium dissectum,Wild,3
Farm1,ELS,1,2013,Geranium dissectum,Wild,78
Farm1,ELS,1,2013,Geranium dissectum,Wild,30
Farm1,ELS,1,2013,Glechoma hederacea,Wild,48
Farm1,ELS,1,2013,Lamium album,Wild,150
Farm1,ELS,1,2013,Lamium album,Wild,10
Farm1,ELS,1,2013,Lamium album,Wild,8
Farm1,ELS,1,2013,Lamium album,Wild,50
Farm1,ELS,1,2013,Medicago arabica,Wild,100
Farm1,ELS,1,2013,Plantago lanceolata,Sown,36
Farm1,ELS,1,2013,Ranunculus repens,Wild,40
Farm1,ELS,1,2013,Ranunculus repens,Wild,10
Farm1,ELS,1,2013,Ranunculus repens,Wild,12000
Farm1,ELS,1,2013,Ranunculus repens,Wild,90
Farm1,ELS,1,2013,Ranunculus repens,Wild,156
Farm1,ELS,1,2013,Ranunculus repens,Wild,85
Farm1,ELS,1,2013,Ranunculus repens,Wild,100
Farm1,ELS,1,2013,Ranunculus repens,Wild,38
Farm1,ELS,1,2013,Rubus fruticosus agg.,Wild,30
Farm1,ELS,1,2013,Silene dioica,Sown,9
Farm1,ELS,1,2013,Silene dioica,Sown,300
Farm1,ELS,1,2013,Silene latifolia,Wild,11
Farm1,ELS,1,2013,Silene latifolia,Wild,4
Farm1,ELS,1,2013,Silene latifolia,Wild,25
Farm1,ELS,1,2013,Sinapis arvensis,Wild,8
Farm1,ELS,1,2013,Sinapis arvensis,Wild,38
Farm1,ELS,1,2013,Sinapis arvensis,Wild,80
Farm1,ELS,1,2013,Sinapis arvensis,Wild,10
Farm1,ELS,1,2013,Sinapis arvensis,Wild,23
Farm1,ELS,1,2013,Sisymbrium officinale,Wild,28
Farm1,ELS,1,2013,Sonchus oleraceus,Wild,9
Farm1,ELS,1,2013,Sonchus oleraceus,Wild,3
Farm1,ELS,1,2013,Stellaria holostea,Wild,560
Farm1,ELS,1,2013,Stellaria holostea,Wild,550
Farm1,ELS,1,2013,Trifolium pratense,Sown,18
Farm1,ELS,1,2013,Trifolium repens,Wild,70
