Farm,Type,Round,Date,Species,,,,,,
Farm1,ELS,1,19/05/2014,Andrena carantonica,,,,,,
Farm1,ELS,1,19/05/2014,Andrena dorsata,,,,,,
Farm1,ELS,2,26/06/2014,Andrena dorsata,,,,,,
Farm1,ELS,1,19/05/2014,Andrena flavipes,,,,,,
Farm1,ELS,2,26/06/2014,Andrena florea,,,,,,
Farm1,ELS,2,26/06/2014,Andrena florea,,,,,,
Farm1,ELS,1,01/06/2013,Andrena haemorrhoa,,,,,,
Farm1,ELS,3,11/08/2013,Andrena minutula,,,,,,
Farm1,ELS,3,11/08/2013,Andrena minutula,,,,,,
Farm1,ELS,2,26/06/2014,Andrena minutula,,,,,,
Farm1,ELS,3,05/08/2014,Andrena minutula,,,,,,
Farm1,ELS,2,02/07/2013,Bombus hortorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus hortorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus hortorum,,,,,,
Farm1,ELS,3,11/08/2013,Bombus hortorum,,,,,,
Farm1,ELS,1,19/05/2014,Bombus hortorum,,,,,,
Farm1,ELS,2,26/06/2014,Bombus hortorum,,,,,,
Farm1,ELS,2,26/06/2014,Bombus hortorum,,,,,,
Farm1,ELS,2,26/06/2014,Bombus hortorum,,,,,,
Farm1,ELS,2,26/06/2014,Bombus hortorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus hypnorum,,,,,,
Farm1,ELS,3,11/08/2013,Bombus hypnorum,,,,,,
Farm1,ELS,3,11/08/2013,Bombus hypnorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus lapidarius,,,,,,
Farm1,ELS,2,02/07/2013,Bombus lapidarius,,,,,,
Farm1,ELS,2,02/07/2013,Bombus lapidarius,,,,,,
Farm1,ELS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm1,ELS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm1,ELS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm1,ELS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm1,ELS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm1,ELS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm1,ELS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm1,ELS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm1,ELS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm1,ELS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm1,ELS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm1,ELS,1,01/06/2013,Bombus lapidarius,,,,,,
Farm1,ELS,1,01/06/2013,Bombus lapidarius,,,,,,
Farm1,ELS,2,26/06/2014,Bombus lapidarius,,,,,,
Farm1,ELS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm1,ELS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm1,ELS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm1,ELS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm1,ELS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm1,ELS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm1,ELS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm1,ELS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm1,ELS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm1,ELS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm1,ELS,2,02/07/2013,Bombus lucorum,,,,,,
Farm1,ELS,1,01/06/2013,Bombus pascuorum,,,,,,
Farm1,ELS,1,01/06/2013,Bombus pascuorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus pascuorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus pascuorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus pascuorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus pascuorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus pascuorum,,,,,,
Farm1,ELS,3,11/08/2013,Bombus pascuorum,,,,,,
Farm1,ELS,3,11/08/2013,Bombus pascuorum,,,,,,
Farm1,ELS,3,11/08/2013,Bombus pascuorum,,,,,,
Farm1,ELS,3,11/08/2013,Bombus pascuorum,,,,,,
