Farm,Type,Round,Year,Species
Farm1,ELS,One,2015,Acer campestre
Farm1,ELS,Three,2013,Achillea millefolium
Farm1,ELS,Two,2014,Achillea millefolium
Farm1,ELS,Three,2014,Achillea millefolium
Farm1,ELS,Three,2014,Achillea millefolium
Farm1,ELS,Three,2015,Achillea millefolium
Farm1,ELS,Two,2015,Aegopodium podagraria
Farm1,ELS,Two,2015,Anagallis arvensis
Farm1,ELS,One,2013,Anthriscus sylvestris
Farm1,ELS,One,2013,Anthriscus sylvestris
Farm1,ELS,One,2013,Anthriscus sylvestris
Farm1,ELS,One,2013,Anthriscus sylvestris
Farm1,ELS,One,2013,Anthriscus sylvestris
Farm1,ELS,One,2013,Anthriscus sylvestris
Farm1,ELS,One,2013,Anthriscus sylvestris
Farm1,ELS,One,2013,Anthriscus sylvestris
Farm1,ELS,One,2013,Anthriscus sylvestris
Farm1,ELS,One,2014,Anthriscus sylvestris
Farm1,ELS,One,2014,Anthriscus sylvestris
Farm1,ELS,One,2014,Anthriscus sylvestris
Farm1,ELS,One,2014,Anthriscus sylvestris
Farm1,ELS,One,2014,Anthriscus sylvestris
Farm1,ELS,One,2014,Anthriscus sylvestris
Farm1,ELS,One,2014,Anthriscus sylvestris
Farm1,ELS,One,2014,Anthriscus sylvestris
Farm1,ELS,Two,2014,Anthriscus sylvestris
Farm1,ELS,One,2015,Anthriscus sylvestris
Farm1,ELS,One,2015,Anthriscus sylvestris
Farm1,ELS,Three,2013,Artemisia vulgaris
Farm1,ELS,Two,2013,Ballota nigra
Farm1,ELS,Two,2013,Ballota nigra
Farm1,ELS,Three,2013,Ballota nigra
Farm1,ELS,Three,2013,Ballota nigra
Farm1,ELS,Two,2014,Ballota nigra
Farm1,ELS,Two,2014,Ballota nigra
Farm1,ELS,Two,2014,Ballota nigra
Farm1,ELS,Three,2014,Ballota nigra
Farm1,ELS,Three,2014,Ballota nigra
Farm1,ELS,Three,2014,Ballota nigra
